V6,V10,V12,V13,V14,V15,Class
728.0,3,129.0,1,174.0,2,2
1545.0,20,25.0,1,-1.0,0,1
15302.0,19,121.0,4,-1.0,0,1
0.0,5,179.0,2,-1.0,0,1
696.0,30,270.0,2,293.0,2,1
276.0,5,269.0,1,-1.0,0,1
299.0,19,1059.0,5,-1.0,0,1
2770.0,21,158.0,1,-1.0,0,1
320.0,12,413.0,1,92.0,3,2
1780.0,3,238.0,6,-1.0,0,1
590.0,25,124.0,1,-1.0,0,2
616.0,22,685.0,1,101.0,1,2
-199.0,12,149.0,5,299.0,10,1
32.0,4,563.0,1,-1.0,0,2
2040.0,18,906.0,2,350.0,2,2
1.0,5,26.0,8,267.0,1,1
-101.0,6,128.0,1,-1.0,0,1
3823.0,26,234.0,10,-1.0,0,1
436.0,17,1720.0,1,-1.0,0,2
5201.0,9,317.0,1,-1.0,0,1
0.0,15,103.0,4,-1.0,0,1
64.0,21,78.0,2,-1.0,0,1
3837.0,8,1084.0,1,-1.0,0,2
1815.0,10,235.0,1,102.0,2,2
1.0,13,640.0,2,101.0,4,2
2511.0,16,700.0,5,-1.0,0,2
40.0,10,147.0,1,-1.0,0,2
0.0,17,78.0,2,193.0,2,1
108.0,9,273.0,2,182.0,1,2
846.0,19,175.0,2,-1.0,0,1
2785.0,11,610.0,4,-1.0,0,2
4182.0,4,347.0,2,-1.0,0,2
0.0,13,585.0,1,-1.0,0,2
1241.0,20,17.0,5,-1.0,0,1
3864.0,15,815.0,4,-1.0,0,2
3867.0,26,257.0,12,-1.0,0,1
40.0,9,617.0,4,-1.0,0,2
5287.0,6,252.0,2,-1.0,0,1
17964.0,26,208.0,2,96.0,3,2
-228.0,15,101.0,1,371.0,1,1
0.0,20,363.0,2,100.0,6,1
865.0,27,96.0,1,111.0,3,1
1031.0,17,282.0,4,-1.0,0,2
-110.0,19,164.0,2,-1.0,0,1
513.0,18,351.0,1,-1.0,0,2
412.0,19,1293.0,8,-1.0,0,2
1825.0,9,236.0,1,-1.0,0,2
2263.0,21,1158.0,9,-1.0,0,2
291.0,11,515.0,1,183.0,1,2
2717.0,13,394.0,6,-1.0,0,2
359.0,2,231.0,2,271.0,1,1
240.0,11,254.0,2,-1.0,0,1
2532.0,18,269.0,1,-1.0,0,2
3161.0,2,313.0,3,-1.0,0,2
490.0,28,227.0,1,-1.0,0,1
1352.0,6,193.0,1,-1.0,0,1
906.0,2,109.0,1,160.0,1,1
2559.0,7,889.0,1,-1.0,0,2
1295.0,20,1192.0,1,-1.0,0,2
62.0,8,469.0,2,185.0,2,2
466.0,25,377.0,1,-1.0,0,2
406.0,7,314.0,1,-1.0,0,2
395.0,30,183.0,1,183.0,2,2
217.0,30,1776.0,2,-1.0,0,2
180.0,26,222.0,1,70.0,2,1
481.0,20,196.0,2,-1.0,0,1
239.0,21,412.0,1,-1.0,0,2
1857.0,28,173.0,4,-1.0,0,1
0.0,20,266.0,3,-1.0,0,1
2567.0,18,813.0,4,-1.0,0,2
2398.0,3,108.0,1,92.0,1,1
4693.0,7,79.0,1,394.0,2,2
638.0,20,75.0,9,-1.0,0,1
0.0,21,681.0,4,-1.0,0,2
488.0,6,146.0,4,-1.0,0,1
1633.0,8,233.0,1,95.0,1,1
2007.0,12,265.0,2,-1.0,0,2
1602.0,29,339.0,3,-1.0,0,1
6027.0,14,809.0,1,179.0,4,2
-197.0,9,2016.0,2,-1.0,0,2
520.0,3,443.0,2,-1.0,0,2
7279.0,12,882.0,1,-1.0,0,2
0.0,14,168.0,1,-1.0,0,2
355.0,2,253.0,7,-1.0,0,1
1895.0,17,345.0,1,-1.0,0,1
938.0,11,98.0,2,97.0,3,1
8486.0,6,260.0,3,-1.0,0,1
3551.0,12,458.0,1,-1.0,0,2
-405.0,8,177.0,1,-1.0,0,1
277.0,12,101.0,3,-1.0,0,1
1.0,14,585.0,1,182.0,5,2
897.0,4,133.0,4,-1.0,0,2
919.0,14,103.0,2,-1.0,0,1
658.0,5,838.0,1,-1.0,0,2
0.0,30,200.0,1,259.0,2,2
3636.0,21,808.0,2,-1.0,0,2
-41.0,6,1658.0,1,262.0,1,2
166.0,28,108.0,8,-1.0,0,1
1389.0,8,335.0,1,-1.0,0,2
118.0,5,280.0,1,-1.0,0,2
79.0,5,528.0,2,196.0,1,1
0.0,27,89.0,12,-1.0,0,1
350.0,3,230.0,1,-1.0,0,1
125.0,9,263.0,1,90.0,1,2
1222.0,2,251.0,1,242.0,2,1
229.0,5,197.0,1,-1.0,0,1
2840.0,20,227.0,5,-1.0,0,2
0.0,14,17.0,7,-1.0,0,1
1445.0,23,171.0,1,-1.0,0,2
607.0,18,1060.0,5,-1.0,0,2
149.0,7,254.0,1,-1.0,0,1
2823.0,2,229.0,1,-1.0,0,1
1690.0,28,64.0,11,-1.0,0,1
372.0,16,106.0,10,-1.0,0,1
839.0,8,240.0,1,40.0,2,1
39.0,26,396.0,3,-1.0,0,2
691.0,29,158.0,1,-1.0,0,1
159.0,18,37.0,1,-1.0,0,1
2249.0,18,595.0,2,-1.0,0,1
600.0,17,277.0,3,-1.0,0,1
257.0,11,1310.0,2,-1.0,0,2
0.0,3,335.0,1,-1.0,0,1
307.0,30,132.0,1,-1.0,0,1
6.0,29,365.0,2,-1.0,0,1
318.0,9,545.0,2,-1.0,0,1
87.0,21,116.0,2,113.0,4,1
3917.0,3,725.0,2,93.0,1,2
4709.0,22,78.0,4,-1.0,0,1
-204.0,15,297.0,3,-1.0,0,1
12956.0,29,789.0,3,-1.0,0,2
0.0,13,531.0,2,-1.0,0,2
-395.0,30,141.0,4,-1.0,0,1
-971.0,28,104.0,2,-1.0,0,1
1154.0,17,231.0,1,-1.0,0,2
11.0,13,109.0,2,-1.0,0,1
732.0,3,1404.0,4,-1.0,0,2
265.0,24,130.0,2,94.0,1,2
5993.0,25,151.0,1,184.0,2,1
1.0,15,92.0,4,-1.0,0,1
780.0,17,272.0,3,-1.0,0,2
110.0,30,1136.0,2,-1.0,0,2
113.0,14,318.0,3,-1.0,0,1
2787.0,13,617.0,1,377.0,1,2
-87.0,3,1363.0,7,-1.0,0,2
0.0,22,107.0,2,-1.0,0,1
2885.0,10,314.0,2,156.0,4,2
121.0,13,16.0,6,176.0,5,1
199.0,9,183.0,1,-1.0,0,1
3057.0,11,133.0,1,-1.0,0,1
348.0,17,926.0,1,-1.0,0,2
11891.0,6,158.0,1,-1.0,0,2
517.0,31,101.0,7,-1.0,0,1
2490.0,19,185.0,2,180.0,1,1
1746.0,21,487.0,2,-1.0,0,1
-46.0,18,1373.0,4,-1.0,0,2
506.0,23,229.0,2,-1.0,0,2
160.0,30,619.0,1,-1.0,0,2
951.0,12,229.0,3,339.0,1,2
6822.0,7,797.0,2,-1.0,0,2
489.0,23,204.0,4,-1.0,0,1
48.0,24,357.0,7,-1.0,0,1
116.0,26,182.0,3,-1.0,0,1
1092.0,23,268.0,1,-1.0,0,1
251.0,25,272.0,6,-1.0,0,1
91.0,6,29.0,1,356.0,2,1
2301.0,16,124.0,1,-1.0,0,1
51.0,14,203.0,1,87.0,2,2
313.0,17,125.0,1,-1.0,0,1
353.0,11,352.0,1,183.0,1,2
-287.0,18,504.0,1,-1.0,0,1
-45.0,26,240.0,2,-1.0,0,1
0.0,23,366.0,6,-1.0,0,2
-92.0,6,139.0,1,363.0,1,1
0.0,20,158.0,1,-1.0,0,2
-227.0,15,404.0,1,-1.0,0,1
-30.0,21,1360.0,3,-1.0,0,2
376.0,13,193.0,1,92.0,1,2
-525.0,21,980.0,2,-1.0,0,2
0.0,27,508.0,1,-1.0,0,2
5473.0,24,127.0,2,184.0,2,2
695.0,9,233.0,1,-1.0,0,2
335.0,21,501.0,2,-1.0,0,1
3338.0,21,264.0,2,-1.0,0,2
649.0,19,136.0,2,-1.0,0,1
0.0,7,835.0,4,-1.0,0,1
860.0,30,132.0,1,-1.0,0,2
883.0,5,112.0,2,106.0,1,2
34230.0,7,279.0,1,358.0,9,1
21244.0,4,166.0,2,-1.0,0,1
2543.0,10,223.0,1,414.0,4,2
1732.0,14,1871.0,3,-1.0,0,2
71.0,26,138.0,2,-1.0,0,1
283.0,23,761.0,1,-1.0,0,2
607.0,12,454.0,2,364.0,3,2
860.0,20,185.0,1,-1.0,0,1
140.0,3,96.0,1,125.0,2,1
0.0,16,847.0,1,60.0,1,2
7811.0,16,143.0,2,-1.0,0,1
6.0,19,286.0,2,-1.0,0,1
1547.0,5,1186.0,4,-1.0,0,2
-267.0,20,1030.0,3,-1.0,0,2
110.0,13,1036.0,1,-1.0,0,2
1261.0,19,166.0,1,-1.0,0,1
49.0,7,494.0,4,-1.0,0,2
0.0,27,157.0,5,-1.0,0,1
0.0,30,351.0,2,-1.0,0,1
62.0,18,67.0,1,-1.0,0,1
1289.0,15,250.0,4,415.0,2,2
107.0,6,142.0,3,-1.0,0,1
1430.0,11,499.0,2,91.0,3,2
3977.0,17,264.0,1,-1.0,0,1
541.0,5,656.0,1,-1.0,0,2
340.0,26,297.0,1,-1.0,0,1
1094.0,8,137.0,1,-1.0,0,2
181.0,12,182.0,1,104.0,1,2
2794.0,12,1336.0,2,-1.0,0,2
260.0,11,175.0,2,116.0,2,2
3771.0,16,186.0,1,183.0,1,2
272.0,16,105.0,2,94.0,2,2
-3.0,13,500.0,2,-1.0,0,1
387.0,4,340.0,8,-1.0,0,2
1238.0,28,252.0,2,-1.0,0,1
1027.0,2,313.0,1,152.0,2,2
1628.0,25,1422.0,2,-1.0,0,2
379.0,28,74.0,1,-1.0,0,1
187.0,21,178.0,1,-1.0,0,1
415.0,23,76.0,2,-1.0,0,1
11115.0,30,328.0,1,-1.0,0,2
3242.0,8,521.0,4,-1.0,0,1
3027.0,24,160.0,1,-1.0,0,2
168.0,30,394.0,1,-1.0,0,2
703.0,14,342.0,1,-1.0,0,2
2467.0,20,972.0,2,-1.0,0,1
3.0,6,147.0,1,-1.0,0,1
706.0,21,588.0,1,386.0,3,2
2332.0,29,108.0,2,-1.0,0,1
2211.0,15,210.0,2,-1.0,0,1
8929.0,11,126.0,1,-1.0,0,2
-559.0,21,485.0,1,-1.0,0,1
113.0,4,126.0,1,-1.0,0,1
2087.0,20,768.0,3,-1.0,0,2
1440.0,30,309.0,1,-1.0,0,1
-898.0,21,322.0,3,-1.0,0,1
369.0,7,224.0,1,-1.0,0,1
2979.0,25,156.0,1,-1.0,0,1
35.0,20,126.0,4,-1.0,0,1
6771.0,5,319.0,1,-1.0,0,2
6843.0,20,755.0,1,100.0,10,2
0.0,17,258.0,1,-1.0,0,1
641.0,16,156.0,6,-1.0,0,1
97.0,13,286.0,2,-1.0,0,1
0.0,18,395.0,4,-1.0,0,1
2557.0,18,186.0,1,-1.0,0,1
0.0,18,185.0,3,-1.0,0,1
140.0,25,361.0,1,-1.0,0,1
763.0,11,877.0,7,300.0,2,2
4831.0,30,852.0,3,182.0,11,2
2801.0,9,261.0,1,183.0,1,2
-309.0,19,500.0,2,-1.0,0,2
0.0,8,425.0,6,-1.0,0,1
-246.0,7,149.0,1,-1.0,0,1
446.0,3,133.0,4,102.0,4,1
631.0,12,429.0,2,-1.0,0,2
588.0,5,66.0,3,-1.0,0,1
154.0,2,382.0,1,183.0,3,2
872.0,8,82.0,2,-1.0,0,1
1797.0,20,185.0,2,-1.0,0,1
1509.0,18,509.0,1,-1.0,0,1
0.0,17,188.0,3,-1.0,0,2
353.0,11,132.0,1,-1.0,0,1
2722.0,12,506.0,2,-1.0,0,2
33.0,8,87.0,3,-1.0,0,1
565.0,8,77.0,2,-1.0,0,1
273.0,20,28.0,4,-1.0,0,1
0.0,25,52.0,3,-1.0,0,1
1126.0,17,326.0,3,-1.0,0,1
-563.0,26,252.0,1,-1.0,0,1
545.0,16,1579.0,1,234.0,4,2
550.0,9,601.0,1,-1.0,0,1
139.0,11,202.0,1,91.0,1,2
2106.0,17,499.0,2,195.0,1,1
-26.0,16,343.0,1,-1.0,0,1
7529.0,20,175.0,6,183.0,1,2
1990.0,17,316.0,2,339.0,1,1
168.0,12,387.0,1,194.0,1,2
230.0,30,144.0,1,-1.0,0,2
597.0,7,137.0,2,-1.0,0,1
114.0,18,110.0,10,-1.0,0,1
1731.0,31,361.0,4,-1.0,0,2
9506.0,8,321.0,2,-1.0,0,1
978.0,24,132.0,1,-1.0,0,2
801.0,18,250.0,2,-1.0,0,1
1581.0,23,331.0,3,-1.0,0,1
112.0,25,62.0,10,-1.0,0,1
46.0,3,113.0,2,180.0,1,2
3735.0,18,203.0,4,121.0,2,2
1971.0,21,182.0,3,-1.0,0,1
590.0,27,81.0,1,94.0,1,2
962.0,17,344.0,1,-1.0,0,1
3340.0,3,238.0,3,-1.0,0,2
3588.0,10,429.0,1,-1.0,0,2
0.0,18,773.0,4,-1.0,0,2
699.0,13,425.0,2,-1.0,0,2
1515.0,4,815.0,6,167.0,6,2
655.0,16,190.0,1,-1.0,0,2
567.0,7,275.0,2,342.0,4,1
207.0,14,629.0,4,-1.0,0,2
29.0,7,83.0,4,266.0,20,1
0.0,20,162.0,1,181.0,5,2
314.0,30,234.0,1,-1.0,0,2
4808.0,10,272.0,1,-1.0,0,2
155.0,12,290.0,1,93.0,2,2
739.0,14,408.0,1,-1.0,0,2
441.0,14,8.0,1,-1.0,0,1
215.0,20,70.0,1,167.0,1,1
384.0,11,64.0,1,-1.0,0,1
10378.0,17,523.0,3,-1.0,0,1
-378.0,5,361.0,1,253.0,2,1
-396.0,7,104.0,4,-1.0,0,1
3970.0,18,56.0,1,-1.0,0,1
315.0,2,591.0,1,176.0,2,2
154.0,18,416.0,2,-1.0,0,2
1033.0,22,11.0,1,-1.0,0,1
1535.0,28,121.0,1,108.0,2,1
2965.0,13,1970.0,3,-1.0,0,2
445.0,10,292.0,1,-1.0,0,1
2337.0,16,251.0,2,266.0,3,2
422.0,11,286.0,3,-1.0,0,1
1230.0,6,266.0,2,-1.0,0,1
989.0,20,125.0,2,-1.0,0,2
2013.0,19,222.0,4,94.0,2,2
260.0,13,306.0,1,181.0,5,2
323.0,28,158.0,10,-1.0,0,1
899.0,12,114.0,1,170.0,3,2
3917.0,18,565.0,1,-1.0,0,2
7826.0,17,133.0,7,-1.0,0,1
0.0,11,391.0,2,92.0,5,2
1337.0,17,330.0,2,127.0,3,2
568.0,12,1613.0,1,-1.0,0,2
952.0,29,1241.0,5,-1.0,0,2
386.0,27,185.0,5,-1.0,0,1
6253.0,9,411.0,1,-1.0,0,1
6807.0,20,163.0,1,-1.0,0,2
0.0,7,262.0,1,99.0,2,2
1263.0,6,114.0,2,-1.0,0,1
90.0,18,166.0,3,-1.0,0,1
4721.0,9,288.0,2,90.0,3,2
0.0,20,204.0,3,-1.0,0,1
264.0,19,1502.0,1,-1.0,0,2
681.0,13,589.0,1,-1.0,0,1
30.0,30,460.0,1,-1.0,0,2
78.0,4,143.0,1,-1.0,0,1
96.0,9,123.0,1,-1.0,0,1
0.0,9,305.0,1,326.0,1,2
105.0,27,85.0,4,-1.0,0,1
1081.0,27,229.0,3,-1.0,0,2
3043.0,14,707.0,2,-1.0,0,2
434.0,11,277.0,1,271.0,2,1
625.0,19,651.0,3,-1.0,0,2
1587.0,2,171.0,3,-1.0,0,2
4787.0,7,895.0,1,-1.0,0,2
2702.0,24,129.0,2,-1.0,0,1
1879.0,6,591.0,8,-1.0,0,2
0.0,14,1594.0,1,148.0,1,2
2537.0,26,219.0,6,-1.0,0,1
1830.0,13,261.0,1,179.0,1,2
3576.0,25,349.0,2,183.0,1,2
365.0,4,406.0,2,-1.0,0,1
421.0,20,677.0,1,-1.0,0,2
1110.0,20,888.0,2,183.0,2,2
2518.0,11,82.0,2,-1.0,0,1
4402.0,10,805.0,1,190.0,1,2
191.0,13,1148.0,2,-1.0,0,2
1175.0,14,184.0,1,-1.0,0,2
3287.0,30,277.0,2,337.0,1,2
493.0,18,158.0,1,-1.0,0,1
0.0,29,395.0,3,426.0,1,2
3.0,9,929.0,3,-1.0,0,2
5220.0,13,135.0,1,94.0,2,2
3308.0,27,171.0,1,91.0,2,2
7102.0,20,156.0,3,325.0,9,1
757.0,30,354.0,1,79.0,1,2
-58.0,8,74.0,1,-1.0,0,1
0.0,18,309.0,4,-1.0,0,2
2815.0,11,212.0,1,-1.0,0,2
-637.0,8,218.0,1,172.0,1,1
-229.0,27,100.0,2,-1.0,0,1
8379.0,12,52.0,6,-1.0,0,1
0.0,9,377.0,1,-1.0,0,1
638.0,7,453.0,1,-1.0,0,2
-32.0,30,246.0,2,-1.0,0,2
1013.0,11,206.0,1,461.0,1,2
202.0,14,163.0,3,-1.0,0,1
-203.0,11,1649.0,2,-1.0,0,2
-130.0,24,144.0,2,-1.0,0,2
244.0,15,244.0,1,-1.0,0,1
558.0,31,262.0,2,-1.0,0,2
182.0,2,303.0,1,331.0,2,1
315.0,11,240.0,1,-1.0,0,1
706.0,6,1250.0,4,-1.0,0,2
259.0,8,70.0,1,-1.0,0,1
-639.0,15,585.0,1,-1.0,0,2
687.0,9,869.0,1,-1.0,0,2
4438.0,20,446.0,1,-1.0,0,2
258.0,26,29.0,1,-1.0,0,1
201.0,31,219.0,1,157.0,12,2
2374.0,9,161.0,1,209.0,2,2
133.0,12,171.0,2,181.0,3,2
7426.0,20,65.0,2,-1.0,0,1
2583.0,25,241.0,1,108.0,1,1
3993.0,22,148.0,2,-1.0,0,2
2325.0,2,125.0,1,-1.0,0,2
3311.0,20,719.0,1,-1.0,0,2
79.0,5,203.0,1,92.0,5,2
524.0,23,808.0,1,-1.0,0,2
167.0,10,255.0,1,-1.0,0,2
3141.0,9,347.0,4,189.0,2,2
7863.0,14,1129.0,1,-1.0,0,2
566.0,17,318.0,2,332.0,6,1
10.0,20,75.0,3,-1.0,0,1
576.0,27,156.0,1,-1.0,0,2
870.0,29,188.0,6,-1.0,0,1
388.0,15,173.0,2,99.0,4,2
11008.0,18,1540.0,1,-1.0,0,2
1315.0,30,224.0,1,-1.0,0,2
-475.0,10,234.0,1,-1.0,0,1
1363.0,27,79.0,1,-1.0,0,2
382.0,5,148.0,1,94.0,1,1
0.0,1,1135.0,2,-1.0,0,2
3585.0,14,172.0,1,-1.0,0,2
9366.0,11,69.0,3,-1.0,0,2
133.0,11,1388.0,2,-1.0,0,2
9774.0,20,227.0,1,-1.0,0,1
684.0,13,48.0,13,-1.0,0,1
4877.0,8,172.0,2,-1.0,0,1
0.0,9,44.0,2,-1.0,0,1
109.0,16,91.0,2,268.0,1,1
203.0,7,219.0,2,-1.0,0,1
589.0,10,511.0,3,183.0,6,2
44.0,21,79.0,1,-1.0,0,1
276.0,17,199.0,1,-1.0,0,2
1311.0,11,651.0,1,-1.0,0,2
2346.0,1,421.0,1,97.0,6,1
143.0,2,659.0,2,-1.0,0,2
538.0,18,1122.0,4,-1.0,0,2
29.0,3,269.0,2,-1.0,0,1
2478.0,28,347.0,1,230.0,1,1
3770.0,18,106.0,1,110.0,4,1
395.0,6,241.0,3,-1.0,0,1
