V6,V10,V12,V13,V14,V15,Class
517.0,14,1328.0,1,-1.0,0,2
3929.0,20,593.0,1,-1.0,0,2
624.0,18,420.0,1,276.0,1,2
653.0,2,84.0,1,-1.0,0,2
319.0,13,774.0,2,301.0,1,2
2352.0,4,153.0,2,182.0,11,2
655.0,20,693.0,3,-1.0,0,2
1057.0,5,383.0,2,-1.0,0,1
633.0,12,236.0,10,-1.0,0,1
2287.0,26,895.0,4,-1.0,0,2
640.0,4,447.0,1,-1.0,0,2
476.0,11,856.0,3,-1.0,0,2
1335.0,6,371.0,2,-1.0,0,1
219.0,18,55.0,1,-1.0,0,1
1780.0,23,361.0,2,182.0,5,2
0.0,13,419.0,2,-1.0,0,1
-516.0,8,554.0,3,-1.0,0,1
3371.0,13,284.0,1,92.0,2,1
1457.0,9,167.0,1,-1.0,0,1
1055.0,23,427.0,1,603.0,1,2
-143.0,15,305.0,3,-1.0,0,1
415.0,4,462.0,1,92.0,4,2
764.0,6,244.0,2,-1.0,0,1
568.0,2,378.0,2,386.0,1,2
502.0,14,28.0,2,-1.0,0,1
734.0,6,1357.0,4,-1.0,0,2
502.0,30,261.0,1,-1.0,0,2
412.0,4,45.0,5,265.0,13,1
1583.0,9,662.0,1,-1.0,0,2
381.0,7,1957.0,1,-1.0,0,1
26965.0,21,654.0,2,-1.0,0,2
4253.0,13,146.0,1,-1.0,0,1
1210.0,26,604.0,1,91.0,4,2
-321.0,6,470.0,2,9.0,2,1
945.0,24,561.0,4,-1.0,0,1
2335.0,13,624.0,1,-1.0,0,2
361.0,16,513.0,2,-1.0,0,2
10884.0,4,333.0,2,-1.0,0,2
138.0,15,89.0,2,-1.0,0,2
1533.0,29,358.0,1,-1.0,0,1
1720.0,15,910.0,1,224.0,3,2
728.0,28,104.0,4,-1.0,0,1
297.0,8,188.0,1,-1.0,0,2
2399.0,3,193.0,2,-1.0,0,1
201.0,5,52.0,1,8.0,7,1
343.0,4,191.0,1,-1.0,0,1
6447.0,12,296.0,1,-1.0,0,1
317.0,15,1286.0,1,-1.0,0,1
277.0,20,9.0,13,-1.0,0,1
659.0,28,390.0,4,93.0,1,2
2646.0,14,133.0,8,183.0,2,2
2488.0,30,258.0,6,169.0,3,2
0.0,3,185.0,1,-1.0,0,1
467.0,29,105.0,8,-1.0,0,1
1032.0,21,64.0,2,-1.0,0,1
1411.0,15,170.0,3,-1.0,0,2
1080.0,18,192.0,1,-1.0,0,1
102.0,8,658.0,2,-1.0,0,2
1514.0,21,160.0,3,120.0,3,1
138.0,7,226.0,2,-1.0,0,1
2801.0,10,239.0,1,-1.0,0,2
1461.0,7,757.0,2,170.0,3,2
1387.0,18,256.0,2,-1.0,0,2
4189.0,19,489.0,3,-1.0,0,2
1331.0,3,182.0,2,90.0,1,2
0.0,18,897.0,3,-1.0,0,2
0.0,3,438.0,2,389.0,1,2
152.0,8,831.0,1,-1.0,0,2
1068.0,6,175.0,4,-1.0,0,1
0.0,27,298.0,1,111.0,8,2
91.0,27,105.0,4,-1.0,0,1
6512.0,20,16.0,6,-1.0,0,1
93.0,16,394.0,3,-1.0,0,1
589.0,11,167.0,1,190.0,5,2
1147.0,20,720.0,1,-1.0,0,2
249.0,29,791.0,2,-1.0,0,2
240.0,21,373.0,3,-1.0,0,1
957.0,8,246.0,1,184.0,3,2
305.0,13,75.0,1,105.0,3,1
345.0,29,110.0,3,-1.0,0,1
2955.0,29,226.0,2,-1.0,0,2
0.0,25,286.0,2,-1.0,0,1
153.0,27,389.0,1,-1.0,0,1
3059.0,6,482.0,2,-1.0,0,2
-291.0,20,197.0,3,-1.0,0,1
11821.0,18,384.0,11,-1.0,0,2
0.0,10,982.0,1,-1.0,0,2
974.0,5,174.0,2,80.0,1,2
812.0,11,583.0,4,-1.0,0,2
1177.0,15,330.0,1,311.0,4,2
103.0,9,502.0,5,-1.0,0,1
-257.0,16,448.0,2,-1.0,0,1
0.0,25,484.0,4,-1.0,0,1
132.0,17,220.0,1,-1.0,0,2
294.0,9,265.0,1,184.0,3,2
993.0,28,115.0,3,93.0,1,2
489.0,30,356.0,4,-1.0,0,2
713.0,9,1534.0,2,-1.0,0,1
0.0,4,730.0,2,-1.0,0,2
933.0,29,92.0,33,-1.0,0,1
2709.0,9,48.0,7,-1.0,0,1
271.0,20,68.0,1,-1.0,0,1
5060.0,9,299.0,1,-1.0,0,2
175.0,13,753.0,6,-1.0,0,2
411.0,19,145.0,4,-1.0,0,1
23.0,7,66.0,1,-1.0,0,1
2311.0,21,1105.0,2,-1.0,0,2
397.0,17,594.0,1,-1.0,0,2
22.0,15,1190.0,2,302.0,2,2
2145.0,25,291.0,2,95.0,4,2
641.0,15,257.0,1,-1.0,0,1
1134.0,25,1330.0,3,-1.0,0,2
1514.0,10,447.0,1,728.0,2,2
-598.0,28,239.0,4,-1.0,0,1
1780.0,9,464.0,1,-1.0,0,1
553.0,7,225.0,3,321.0,3,1
1000.0,18,96.0,11,-1.0,0,1
3842.0,1,215.0,2,-1.0,0,2
3480.0,16,443.0,1,-1.0,0,2
5.0,23,282.0,1,203.0,1,2
10.0,23,72.0,5,-1.0,0,1
-205.0,9,112.0,1,-1.0,0,1
509.0,5,418.0,1,-1.0,0,2
-308.0,30,140.0,2,-1.0,0,1
476.0,23,956.0,9,-1.0,0,2
5106.0,30,244.0,1,-1.0,0,2
876.0,27,269.0,3,541.0,3,2
12114.0,12,165.0,2,-1.0,0,2
5610.0,19,69.0,2,-1.0,0,1
6053.0,19,26.0,5,-1.0,0,1
71.0,15,651.0,1,-1.0,0,2
7668.0,5,124.0,1,-1.0,0,1
2538.0,19,680.0,2,111.0,6,2
2149.0,15,282.0,2,-1.0,0,2
-1.0,30,1171.0,4,-1.0,0,2
46.0,2,1013.0,1,-1.0,0,1
1.0,17,169.0,7,-1.0,0,1
1740.0,13,296.0,2,-1.0,0,2
5414.0,30,166.0,4,-1.0,0,1
523.0,19,21.0,1,-1.0,0,1
0.0,31,33.0,13,-1.0,0,1
3547.0,15,351.0,6,-1.0,0,2
27.0,27,294.0,1,-1.0,0,1
218.0,12,27.0,6,344.0,12,1
905.0,5,1543.0,1,-1.0,0,2
3.0,9,1439.0,6,-1.0,0,2
9367.0,14,700.0,4,92.0,7,2
